kanji_text,radical,kanji_pron,on_pron,kun_pron,mean,memo,level_id,examples
口,口,KHẨU,コウ; ク,くち,Cái miệng,Đây là hình dạnh của miệng.,5,川口(かわぐち); 口調(くちょう); 入口(いりぐち); 出口(でぐち); 人口(じんこう); 東口(ひがしぐち); 窓口(まどぐち); 口説(くぜつ); 口笛(くちぶえ); 口入(くちいれ)
目,目,MỤC,モク; ボク,め; ま,Mắt,Đây là hình dạng của mắt.,5,目次(もくじ); 目的(もくてき); 単目(たんめ); 費目(ひもく); 曲目(きょくもく); 耳目(じもく); 標目(ひょうもく); 科目(かもく); 櫛目(くしめ); 品目(ひんもく)
日,日,NHẬT,ニチ; ジツ,ひ; び; か; に,"Ngày, mặt trời",Đây là hình mặt trời.,5,日程(にってい); 日本(にほん); 毎日(まいにち); 夕日(ゆうひ); 今日(きょう); 昨日(きのう); 翌日(よくじつ); 日光(にっこう); 日食(にっしょく); 旭日(きょくじつ)
月,月,NGUYỆT,ゲツ; ガツ,つき,"Tháng, mặt trăng",Đây là hình trăng lưỡi liềm.,5,毎月(まいげつ); 先月(せんげつ); 一月(いちがつ); 二月(にがつ); 三月(さんがつ); 四月(しがつ); 五月(ごがつ); 六月(ろくがつ); 七月(しちがつ); 八月(はちがつ)
火,火,HỎA,カ,ひ; び; ほ,Lửa,Đây là hình ngọn lửa.,5,火力(かりょく); 火星(かせい); 火山(かざん); 花火(はなび); 火事(かじ); 火箸(ひばし); 火鉢(ひばち); 火花(ひばな); 炬火(きょか); 漁火(ぎょか)
水,水,THỦY,スイ,みず,Nước,Thác bắn nước ra xung quanh.,5,水力(すいりょく); 水星(すいせい); 水薬(みずぐすり); 水仙(すいせん); 水牛(すいぎゅう); 水分(すいぶん); 洪水(こうずい); 水泳(すいえい); 水道(すいどう); 水筒(すいとう)
木,木,MỘC,ボク; モク,き,"Gỗ, cây cối",Hình ảnh của một cái cây gồm phần thân cây là một nét dọc dài và cành cây là nét ngang dài. Hai nét còn lại vẽ xuống theo cả hai chiều để thể hiện rễ.,5,木炭(もくたん); 木星(もくせい); 木綿(もめん); 木耳(きくらげ); 木蓮(もくれん); 木表(きおもて); 木裏(きうら); 巨木(きょぼく); 硬木(こうぼく); 香木(こうぼく)
金,金,KIM,キン; コン; ゴン,かね; かな; がね,"Kim loại, vàng",Có lẽ ở dưới núi có vàng đấy.,5,金星(きんせい); 金額(きんがく); 罰金(ばっきん); 醵金(きょきん); 金糸(きんいと); 金員(きんいん); 金液(きんえき); 金貨(きんか); 金塊(きんかい); 金側(きんがわ)
土,土,THỔ,ド; ト,つち,Đất,Một mầm cây đang vươn lên từ đất.,5,土地(とち); 領土(りょうど); 郷土(きょうど); 苦土(くど); 黒土(くろつち); 土竜(もぐら); 唐土(もろこし); 風土(ふうど); 肥土(こえつち); 陶土(とうど)
曜,日; 羽; 隹,DIỆU,ヨウ,"",Ngày trong tuần,Vào ngày đầu tuần con chim kêu piyo-piyo (ピヨピヨ),5,火曜(かよう); 曜日(ようび); 月曜(げつよう); 晃曜(こうよう); 金曜(きんよう); 六曜(ろくよう); 日曜(にちよう); 曜霊(ようれい); 水曜(すいよう); 七曜(しちよう)
本,木; 一,"BỔN, BẢN",ホン,もと,"Gốc, rễ, cội nguồn của sự vật, sách",Đây là gốc cây (木) hãy đánh dấu bằng “-”.,5,日本(にほん); 本屋(ほんや); 本棚(ほんだな); 本社(ほんしゃ); 絵本(えほん); 教本(きょうほん); 標本(ひょうほん); 稿本(こうほん); 手本(てほん); 木本(もくほん)
人,人,NHÂN,ジン; ニン,ひと,Người,Người này đang đứng bằng 2 chân.,5,人参(にんじん); 詩人(しじん); 軍人(ぐんじん); 人格(じんかく); 変人(へんじん); 一人(ひとり); 二人(ふたり); 老人(ろうじん); 人気(にんき); 恋人(こいびと)
今,人; 一,KIM,コン; キン,いま,"Nay, hiện nay, bây giờ ",“Bây giờ cậu đang làm gì đấy?”; “Tớ đang hát lalala (ラララ) ở nhà.”,5,今日(きょう); 今朝(けさ); 今度(こんど); 今夜(こんや); 今上(きんじょう); 昨今(さっこ); 現今(げんこん); 只今(ただいま); 古今(ここん); 今次(こんじ)
寺,土; 寸,TỰ,ジ,てら,"Chùa, ngôi chùa","Nhìn kìa, trên chỗ đất (土) kia có một ngôi chùa.",5,尼寺(あまでら); お寺(おてら); 古寺(ふるでら); 寺院(じいん); 寺格(じかく); 寺領(じりょう); 寺禄(じろく); 山寺(やまでら); 禅寺(ぜんでら); 僧寺(そうじ)
時,日; 土; 寸,"THÌ, THỜI",ジ,とき; どき,"Thời điểm, thời gian",Ngày xưa người ta rung chuông chùa để báo thời gian.,5,時間(じかん); 毎時(まいじ); 時々(ときどき); 何時(いつ); 近時(きんじ); 計時(けいじ); 現時(げんじ); 限時(げんじ); 時片(かたとき); 不時(ふじ)
半,丷; 一; 一; 丨,BÁN,ハン,なか-ば,"Nửa, một nửa","Hãy cắt 3 đoạn này làm đôi. Ô, chỉ đoạn trên cùng bị cắt.",5,半靴(はんくつ); 夜半(やはん); 半年(はんとし); 半島(はんとう); 脚半(きゃはん); 過半(かはん); 後半(こうはん); 半ば(なかば); 上半(じょうはん); 半分(はんぶん)
刀,刀,ĐAO,トウ,かたな; そり,"Con dao, cây đao (vũ khí)",Hãy cắt thành 2 phần bằng con dao (刀).,5,快刀(かいとう); 剃刀(かみそり); 軍刀(ぐんとう); 小刀(こがたな); 牛刀(ぎゅうとう); 大刀(だいとう); 腰刀(こしがたな); 鈍刀(どんとう); 枕刀(まくらがたな); 懐刀(ふところがたな)
分,八; 刀,PHÂN,ブン; フン; ブ,わ-ける; わ-かれる; わ-かる,"Chia cắt, phân chia, lượng từ đếm thời gian",Hãy cắt thành 2 phần bằng con dao (刀).,5,水分(すいぶん); 随分(ずいぶん); 多分(たぶん); 均分(きんぶん); 区分(くぷん); 灰分(かいぶん); 持分(もちぶん); 検分(けんぶん); 気分(きぶん); 約分(やくぶん)
上,上,"THƯỢNG, THƯỚNG",ジョウ; ショウ; シャン,うえ; うわ; かみ; あ-げる; あ-がる; あ-がり; のぼ-る; のぼ-り; のぼ-せる; のぼ-す; よ-す,"Trên, phía trên, đưa lên, cưỡi lên",Chỗ này nằm trên đoạn nằm ngang.,5,屋上(おくじょう); 上手(じょうず); 今上(きんじょう); 上座(かみざ); 面上(めんじょう); 啓上(けいじょう); 計上(けいじょう); 川上(かわかみ); 海上(かいじょう); 風上(かざかみ)
下,下,"HẠ, HÁ",カ; ゲ,した; しも; もと; さ-げる; くだ-る; くだ-す; くだ-さる; お-ろす; お-りる,"Phía dưới, bên dưới, hạ lệnh, ra khơi",Chỗ này phía dưới đoạn nằm ngang.,5,下剤(げざい); 地下(ちか); 廊下(ろうか); 下痢(げり); 下々(しもじも); 下手(したて); 下方(かほう); 下命(かめい); 下問(かもん); 下り(くだり)
中,口; 丨,"TRUNG, TRÚNG",チュウ; ジュウ,なか; うち; あた-る,"Giữa, ở trong, suốt",Chỗ này ở chính giữa hình tròn.,5,中年(ちゅうねん); 真中(まんなか); 中身(なかみ); 中止(ちゅうし); 胸中(きょうちゅう); 病中(びょうちゅう); 禁中(きんちゅう); 卒中(そっちゅう); 空中(くうちゅう); 喪中(もちゅう)
外,夕; 卜,NGOẠI,ガイ; ゲ,そと; ほか; はず-す; はず-れる; と,"Ngoài, bên ngoài, phía ngoài",Hãy hút thuốc ở bên ngoài!,5,外す(はずす); 例外(れいがい); 外国(がいこく); 海外(かいがい); 郊外(こうがい); 意外(いがい); 外敵(がいてき); 外的(がいてき); 外典(がいてん); 外転(がいてん)
右,口,HỮU,ウ; ユウ,みぎ,Bên phải,Tôi ăn bằng tay phải.,5,極右(きょくう); 左右(さゆう); 座右(ざゆう); 右腕(みぎうで); 右手(みぎて); 右側(みぎがわ); 右党(うとう); 右派(うは); 右辺(うへん); 右岸(うがん)
工,工,CÔNG,コウ; ク; グ,"","Người thợ, công việc",Đây là cái thước của thợ thủ công.,5,工員(こういん); 大工(だいく); 工場(こうじょう); 工事(こうじ); 工程(こうてい); 工法(こうほう); 工房(こうぼう); 金工(きんこう); 工務(こうむ); 工面(くめん)
左,工,"TẢ, TÁ",サ; シャ,ひだり,"Bên trái, trái",Tôi nắm cái thước bằng tay trái.,5,左官(さかん); 左記(さき); 極左(きょくさ); 左党(さとう); 左派(さは); 左右(さゆう); 左様(さよう); 左翼(さよく); 左岸(さがん); 左傾(さけい)
前,丷; 一; 月; 刂,TIỀN,ゼン,まえ,"Trước, trước đây, trước khi",Tôi chuẩn bị bữa tối trước khi trăng (月) xuất hiện.,5,前菜(ぜんさい); 名前(なまえ); 駅前(えきまえ); 昼前(ひるまえ); 空前(くうぜん); 前提(ぜんてい); 目前(もくぜん); 持前(もちまえ); 眼前(がんぜん); 気前(きまえ)
後,彳; 幺; 夂,"HẬU, HẤU",ゴ; コウ,のち; うし-ろ; うしろ; あと,"Sau, đằng sau",Tôi đang đị bộ ngược về phía sau con đường.,5,後見(こうけん); 最後(さいご); 後ろ(うしろ); 後篇(こうへん); 病後(びょうご); 後編(こうへん); 後方(こうほう); 後略(こうりゃく); 後列(こうれつ); 後胤(こういん)
午,午,NGỌ,ゴ,うま,"Giữa trưa, chi Ngọ",Chữ Hán này gồm mười (十) và hai (二). Mười hai (十二) giờ là giữa trưa.,5,正午(しょうご); 午後(ごご); 午餐(ごさん); 午睡(ごすい); 午前(ごぜん); 午砲(ごほう); 午后(ごご); 午刻(ごこく); 午年(うまどし); 端午(たんご)
門,門,MÔN,モン,かど; と,Cửa hai cánh,Đây là hình cánh cổng.,5,部門(ぶもん); 専門(せんもん); 自門(じもん); 禁門(きんもん); 海門(かいもん); 校門(こうもん); 肛門(こうもん); 閘門(こうもん); 軍門(ぐんもん); 関門(かんもん)
間,門; 日,GIAN,カン; ケン,あいだ; ま; あい,"Khoảng, ở giữa, bên trong (không gian)",Có thể nhìn thấy mặt trời (日) giữa những cánh cổng (門).,5,時間(じかん); 瞬間(しゅんかん); 夜間(やかん); 空間(くうかん); 昼間(ひるま); 間鴨(あいがも); 間着(あいぎ); 黄間(こうま); 合間(あいま); 区間(くかん)
東,東,ĐÔNG,トウ,ひがし,Phương đông,Mặt trời (日) mọc ở đằng Đông; Có thể thấy ánh nắng (日) hồng sau cây (木).,5,東口(ひがしぐち); 東京(とうきょう); 極東(きょくとう); 近東(きんとう); 東屋(あずまや); 関東(かんとう); 東南(とうなん); 東洋(とうよう); 江東(こうとう); 東風(こち)
西,一; 儿; 口,Á,セイ; サイ; ス,にし,"Che đậy, úp lên, phía tây",Một (一) trong 4 (四) hướng là hướng Tây.,5,西瓜(すいか); 関西(かんさい); 南西(なんせい); 西下(さいか); 西風(にしかぜ); 西側(にしがわ); 西日(にしび); 西国(さいごく); 西方(さいほう); 北西(ほくせい)
南,十; 冂; 丷; 干,NAM,ナン; ナ,みなみ,"Phía Nam, phương Nam, hướng Nam",Hai cây trong vườn đang lớn lên vươn về hướng Nam.,5,南瓜(かぼちゃ); 南極(なんきょく); 南米(なんべい); 東南(とうなん); 南緯(なんい); 南国(なんこく); 南西(なんせい); 南東(なんとう); 南北(なんぼく); 南洋(なんよう)
北,北,BẮC,ホク,きた,"Phương bắc, hướng Bắc, phía Bắc",Hai người đang ngồi đối lưng vào nhau bởi vì phương Bắc rất lạnh.,5,北極(ほっきょく); 極北(きょくほく); 華北(かほく); 北枕(きたまくら); 北方(ほっぽう); 南北(なんぼく); 敗北(はいぼく); 北緯(ほくい); 北上(ほくじょう); 北西(ほくせい)
田,田,ĐIỀN,デン,た,Ruộng,Đây là hình ảnh cánh đồng lúa.,5,田螺(たにし); 田中(たなか); 乾田(かんでん); 瓜田(かでん); 田植(たうえ); 田畑(たはた); 油田(ゆでん); 田園(でんえん); 田地(でんじ); 田夫(でんぷ)
力,力,LỰC,リョク; リキ; リイ,ちから,Sức mạnh,Người đàn ông cơ bắp này có sức lực.,5,水力(すいりょく); 火力(かりょく); 能力(のうりょく); 張力(ちょうりょく); 圧力(あつりょく); 強力(きょうりょく); 極力(きょくりょく); 速力(そくりょく); 気力(きりょく); 筋力(きんりょく)
男,田; 力,NAM,ダン; ナン,おとこ; お,"Nam giới, đàn ông",Người đàn ông có sức lực (力) đang làm việc trên đồng (田).,5,男性(だんせい); 長男(ちょうなん); 下男(げなん); 男系(だんけい); 男工(だんこう); 男子(だんし); 男児(だんじ); 男爵(だんしゃく); 男囚(だんしゅう); 男女(だんじょ)
女,女,NỮ,ジョ; ニョ; ニョウ,おんな; め,"Nữ giới, con gái, đàn bà",Đây là hình một người phụ nữ.,5,女王(じょおう); 皇女(こうじょ); 女性(じょせい); 狂女(きょうじょ); 下女(げじょ); 女優(じょゆう); 家女(かじょ); 貴女(きじょ); 京女(きょうおんな); 彼女(かのじょ)
子,子,TỬ,シ; ス; ツ,こ; ね,Con,Đây là hình một đứa trẻ con.,5,椅子(いす); 茄子(なす); 王子(おうじ); 撫子(なでしこ); 息子(むすこ); 継子(ままこ); 双子(ふたご); 獅子(しし); 子牛(こうし); 子犬(こいぬ)
学,⺍; 冖; 子,HỌC,ガク,まな-ぶ,Học hành,"Đứa trẻ  (子), đội nón rơm (⺍) đi học ở trường.",5,学院(がくいん); 大学(だいがく); 学位(がくい); 学生(がくせい); 学期(がっき); 哲学(てつがく); 視学(しがく); 数学(すうがく); 化学(かがく); 文学(ぶんがく)
生,生,SINH,セイ; ショウ,い-きる; い-かす; い-ける; うま-れる; うまれ; う-む; お-う; は-える; は-やす; なま; な-る; な-す; む-す,"Sinh đẻ, sinh sống",Thực vật được sinh ra từ trong đất (土).,5,生姜(しょうが); 先生(せんせい); 学生(がくせい); 生活(せいかつ); 生塵(なまごみ); 生徒(せいと); 共生(きょうせい); 教生(きょうせい); 偶生(ぐうせい); 群生(ぐんせい)
先,丿; 十; 一; 儿,"TIÊN, TIẾN",セン,さき; ま-ず,"Trước, đằng trước",Người đó đang chạy trước.,5,先生(せんせい); 先週(せんしゅう); 先月(せんげつ); 先ず(まず); 先に(さきに); 祖先(そせん); 口先(くちさき); 機先(きせん); 矢先(やさき); 優先(ゆうせん)
何,亻; 丁; 口,HÀ,カ,なに; なん,"Sao, gì, cái gì",Người ấy đang vận chuyển cái gì đó. “Đó là cái gì nhỉ?”; Hay: Con người (亻) luôn tự hỏi khả năng (可) của mình là cái gì (何).,5,幾何(きか); 何時(いつ); 如何(いかが); 何歳(なんさい); 何時(なんじ); 何か(なにか); 何卒(なにとぞ); 何者(なにもの); 何物(なにもの); 何回(なんかい)
父,八; 乂,PHỤ,フ,ちち,Cha,Bố tôi có bộ ria mép.; Hay: Cha là người có râu (八) và luôn đứng đằng sau (là nhân tố X) giúp con mình.,5,祖父(そふ); 養父(ようふ); 継父(けいふ); 岳父(がくふ); 父音(ふいん); 厳父(げんぷ); 義父(ぎふ); 家父(かふ); 代父(だいふ); 父兄(ふけい)
母,母,MẪU,ボ,はは; も,"Mẹ, người mẹ",Đây là hình ảnh một người mẹ.,5,祖母(そぼ); 母音(ぼいん); 雲母(きらら); 家母(かぼ); 空母(くうぼ); 繼母(けいぼ); 賢母(けんぼ); 酵母(こうぼ); 義母(ぎぼ); 国母(こくぼ)
年,年,NIÊN,ネン,とし,Năm,Thu hoạch lúa mất cả 1 năm.,5,半年(はんとし); 去年(きょねん); 来年(らいねん); 毎年(まいとし); 十年(とおねん); 百年(ひゃくねん); 青年(せいねん); 中年(ちゅうねん); 年齢(ねんれい); 凶年(きょうねん)
去,土; 厶,KHỨ,キョ; コ,さ-る,"Quá khứ, trôi qua",Tôi đã từng sống trong quá khứ bây giờ tôi ở trong đất (土) .; Hay: Chuyện quá khứ chỉ có thể chôn vùi dưới đất (土) và ngậm ngùi cho qua (ム giống mặt buồn).,5,去年(きょねん); 過去(かこ); 去就(きょしゅう); 去勢(きょせい); 去来(きょらい); 薨去(こうきょ); 撤去(てっきょ); 除去(じょきょ); 死去(しきょ); 去痰(きょたん)
毎,毋,MỖI,マイ,ごと; ごと-に,"Mỗi, hàng, thường xuyên",Mỗi người đều có một bà mẹ.; Hay: Mỗi ngày tôi phải đội nón (𠂉) ra đồng (毋 giống 田).,5,毎時(まいじ); 毎日(まいにち); 毎晩(まいばん); 毎週(まいしゅう); 毎月(まいげつ); 毎年(まいとし); 毎朝(まいあさ); 毎回(まいかい); 毎期(まいき); 毎号(まいごう)
王,王,"VƯƠNG, VƯỢNG",オウ,"", Vua chúa,Đức vua đang đứng.,5,王様(おうさま); 国王(こくおう); 王子(おうじ); 女王(じょおう); 花王(かおう); 法王(ほうおう); 大王(だいお); 魔王(まおう); 仁王(におう); 王者(おうじゃ)
国,囗; 王; 丶,QUỐC,コク,くに,"Đất nước, quốc gia, quê nhà","Đức vua (王) với viên ngọc quý đang trị vì đất nước.; Hay: Ở một nơi có vua 王, tay đeo nhẫn (dấu gạch ngay chữ vương) và bức tường bao quanh (口) là một đất nước 国.",5,国王(こくおう); 韓国(かんこく); 外国(がいこく); 国連(こくれん); 国歌(こっか); 国籍(こくせき); 挙国(きょこく); 祖国(そこく); 愛国(あいこく); 属国(ぞっこく)
見,見,KIẾN,ケン,み-る; み-える; み-せる,"Trông thấy, nhìn","Dùng chân (ル) đi ra ngoài, rồi dùng con mắt (目) để nhìn ngó xung quanh.",5,後見(こうけん); 見る(みる); 意見(いけん); 愚見(ぐけん); 味見(あじみ); 管見(かんけん); 見解(けんかい); 風見(かざみ); 見参(けんざん); 見識(けんしき)
行,彳; 一; 丁,HÀNH,コウ; ギョウ; アン,い-く; ゆ-く; おこな-う,"Đi, thi hành, làm được","Ở góc này, bạn hãy quyết định nơi đi.",5,行動(こうどう); 行く(いく); 行事(ぎょうじ); 行商(ぎょうしょう); 行状(ぎょうじょう); 行水(ぎょうずい); 行政(ぎょうせい); 行跡(ぎょうせき); 行年(ぎょうねん); 行列(ぎょうれつ)
米,米,MỄ,ベイ; マイ; メエトル,こめ; よね,Gạo,Đây là hình ảnh một bông lúa.,5,南米(なんべい); 屑米(くずまい); 供米(くまい); 回米(かいまい); 外米(がいまい); 蔵米(くらまい); 樅米(もみごめ); 餅米(もちごめ); 玄米(げんまい); 小米(こごめ)
来,来,"LAI, LÃI",ライ; タイ,く-る; きた-る; きた-す; き-たす; き-たる; き; こ,"Sự tới,đến",Tháng mười (十) đến rồi; Thu hoặc gạo (米) thôi.,5,来週(らいしゅう); 来年(らいねん); 来る(くる); 将来(しょうらい); 去来(きょらい); 近来(きんらい); 外来(がいらい); 光来(こうらい); 家来(けらい); 来す(きたす)
良,丨; 艮,LƯƠNG,リョウ,よ-い,Tốt đẹp,Ai cũng sẽ cảm thấy tốt lành khi cái dạ dày được lấp đầy.,5,善良(ぜんりょう); 良い(よい); 改良(かいりょう); 優良(ゆうりょう); 純良(じゅんりょう); 最良(さいりょう); 不良(ふりょう); 野良(のら); 良く(よく); 良心(りょうしん)
食,食,THỰC,ショク; ジキ,く-う; く-らう; た-べる; は-む,Ăn,Điều thú vị (良) tôi làm ở nhà chính là ăn.,5,食道(しょくどう); 日食(にっしょく); 月食(げっしょく); 食堂(しょくどう); 主食(しゅしょく); 定食(ていしょく); 食品(しょくひん); 和食(わしょく); 洋食(ようしょく); 食欲(しょくよく)
飲,食; 丿; 乛; 人,ẨM,イン; オン,の-む; の-み,"Đồ uống, uống",Hay: Khi ăn (食) thì không thể thiếu (欠) uống.,5,飲む(のむ); 愛飲(あいいん); 鯨飲(げいいん); 吸飲(きゅういん); 強飲(ごういん); 喫飲(きついん); 茶飲(ちゃのみ); 飲酒(いんしゅ); 飲食(いんしょく); 飲用(いんよう)
会,人; 一; 一; 厶,HỘI,カイ; エ,あ-う; あ-わせる; あつ-まる,"Tụ hội, gặp gỡ, cơ hội",Hai người (二) chúng ta sẽ gặp nhau trong nhà.;  ,5,会計(かいけい); 教会(きょうかい); 会長(かいちょう); 会期(かいき); 会話(かいわ); 会社(かいしゃ); 都会(とかい); 大会(たいかい); 社会(しゃかい); 会員(かいいん)
耳,耳,NHĨ,ジ,みみ,Cái tai,Đây là hình ảnh một cái tai.,5,木耳(きくらげ); 耳目(じもく); 牛耳(ぎゅうじ); 袋耳(ふくろみみ); 内耳(ないじ); 小耳(こみみ); 耳垢(みみあか); 耳朶(みみたぶ); 耳元(みみもと); 耳輪(みみわ)
聞,門; 耳,"VĂN, VẤN",ブン; モン,き-く; き-こえる," Nghe thấy, hỏi",Ai đó đang ghé tai (耳) ở cổng (門) để nghe.,5,新聞(しんぶん); 怪聞(かいぶん); 外聞(がいぶん); 開聞(かいもん); 聞く(きく); 聞道(きくならく); 見聞(けんぶん); 奇聞(きぶん); 記聞(きぶん); 旧聞(きゅうぶん)
言,言,NGÔN,ゲン; ゴン,い-う; こと,Nói,Tôi dùng miệng để nói điều gì tôi muốn.,5,言う(いう); 言葉(ことば); 言語(げんご); 虚言(きょげん); 評言(ひょうげん); 謹言(きんげん); 苦言(くげん); 換言(かんげん); 甘言(かんげん); 諫言(かんげん)
話,言; 千; 口,THOẠI,ワ,はな-す; はな,"Lời nói, cuộc trò chuyện",Người ta sử dụng hàng ngàn từ để nói chuyện.,5,電話(でんわ); 話す(はなす); 会話(かいわ); 昔話(むかしばなし); 寓話(ぐうわ); 秘話(ひわ); 哀話(あいわ); 講話(こうわ); 高話(こうわ); 訓話(くんわ)
立,立,LẬP,リツ; リュウ; リットル,た-つ; た-ち; た-てる; た-て; だ-てる; だ-て,"Đứng, thành lập",Đây là hình ảnh một người đang đứng.,5,立派(りっぱ); 立つ(たつ); 起立(きりつ); 開立(かいりつ); 確立(かくりつ); 官立(かんりつ); 県立(けんりつ); 存立(そんりつ); 公立(こうりつ); 矢立(やたて)
待,彳; 土; 寸,ĐÃI,タイ,ま-つ; ま-ち,"Đợi, tiếp đãi",Anh đang chờ em trên con đường phía trước ngôi đền.,5,待つ(まつ); 歓待(かんたい); 期待(きたい); 虐待(ぎゃくたい); 待遇(たいぐう); 優待(ゆうたい); 待ち(まち); 待合(まちあい); 招待(しょうたい); 接待(せったい)
周,土; 口,CHU,シュウ,まわ-り,"Vòng, xung quanh",Những gì bạn ăn đều trở về đất (土). Mọi thứ đều tuần hoàn theo chu kì.,5,周り(まわり); 周囲(しゅうい); 周辺(しゅうへん); 内周(ないしゅう); 周波(しゅうは); 周密(しゅうみつ); 周忌(しゅうき); 周期(しゅうき); 周年(しゅうねん); 周遊(しゅうゆう)
週,辶; 周,CHU,シュウ,"","Vòng khắp, tuần lễ",Để đi (辶) hết vòng quanh khu này (周) mất 1 tuần (週).,5,週末(しゅうまつ); 毎週(まいしゅう); 先週(せんしゅう); 来週(らいしゅう); 隔週(かくしゅう); 今週(こんしゅう); 週番(しゅうばん); 週報(しゅうほう); 週刊(しゅうかん); 週間(しゅうかん)
